22:02:58 【James】已进入直播间！
22:03:04 James: ad
22:05:23 【James】已离开直播间22:05:23 【James】已进入直播间！
22:05:24 【James】已离开直播间22:05:24 【James】已进入直播间！
22:05:37 James: asd
22:09:42 【James】已离开直播间22:09:43 【James】已进入直播间！
22:10:01 【James】已离开直播间22:10:02 【James】已进入直播间！
22:10:14 【James】已离开直播间22:10:15 【James】已进入直播间！
22:12:28 【James】已进入直播间！
22:12:39 James: asdasd
22:14:28 【kanye】已进入直播间！
09:43:20 【James】已进入直播间！
09:44:39 【James】已进入直播间！
09:51:09 【James】已离开直播间09:51:09 【James】已进入直播间！
09:51:20 【James】已离开直播间09:51:22 【James】已进入直播间！
09:53:38 【James】已离开直播间09:53:38 【James】已进入直播间！
09:53:45 【James】已离开直播间09:53:45 【James】已进入直播间！
09:53:47 【James】已离开直播间09:53:47 【James】已进入直播间！
09:54:26 【James】已离开直播间09:54:27 【James】已进入直播间！
09:54:42 【James】已离开直播间09:54:42 【James】已进入直播间！
09:55:33 【James】已离开直播间09:55:33 【James】已进入直播间！
09:55:35 【James】已离开直播间09:55:35 【James】已进入直播间！
09:55:55 【James】已离开直播间09:55:55 【James】已进入直播间！
09:55:57 【James】已离开直播间09:55:57 【James】已进入直播间！
09:56:07 【James】已离开直播间09:56:07 【James】已进入直播间！
09:56:32 【James】已离开直播间09:56:32 【James】已进入直播间！
09:57:56 【James】已离开直播间09:57:56 【James】已进入直播间！
09:58:08 【James】已离开直播间09:58:08 【James】已进入直播间！
09:58:20 【James】已离开直播间09:58:20 【James】已进入直播间！
09:58:21 【James】已离开直播间09:58:21 【James】已进入直播间！
09:58:22 【James】已离开直播间09:58:22 【James】已进入直播间！
09:58:32 【James】已离开直播间09:58:32 【James】已进入直播间！
09:58:33 【James】已离开直播间09:58:33 【James】已进入直播间！
09:58:49 【James】已离开直播间09:58:49 【James】已进入直播间！
09:59:08 【James】已离开直播间09:59:08 【James】已进入直播间！
09:59:23 【James】已离开直播间09:59:23 【James】已进入直播间！
09:59:44 【James】已进入直播间！
10:00:16 【James】已离开直播间10:00:16 【James】已进入直播间！
10:00:23 【James】已离开直播间10:00:23 【James】已进入直播间！
10:00:30 【James】已离开直播间10:00:30 【James】已进入直播间！
10:00:38 【James】已离开直播间10:00:38 【James】已进入直播间！
10:00:40 【James】已离开直播间10:00:40 【James】已进入直播间！
10:00:41 【James】已离开直播间10:00:41 【James】已进入直播间！
10:00:49 【James】已离开直播间10:00:49 【James】已进入直播间！
10:00:55 【James】已离开直播间10:00:55 【James】已进入直播间！
10:00:55 【James】已离开直播间10:00:55 【James】已进入直播间！
10:01:09 【James】已离开直播间10:01:09 【James】已进入直播间！
10:01:21 【James】已离开直播间10:01:21 【James】已进入直播间！
10:01:22 【James】已离开直播间10:01:22 【James】已进入直播间！
10:01:30 【James】已离开直播间10:01:30 【James】已进入直播间！
10:01:30 【James】已离开直播间10:01:30 【James】已进入直播间！
